16|A|861.00000000|861.50000000|YC
16|A|816.00000000|816.50000000|YC
16|B|861.50000000|863.00000000|YC
16|B|816.50000000|818.00000000|YC
16|C|863.00000000|866.00000000|YC
16|C|818.00000000|821.00000000|YC
17|A|27500.00000000|28350.00000000|LD
17|A|29100.00000000|29250.00000000|LD
17|A|31075.00000000|31225.00000000|LD
17|B|31000.00000000|31075.00000000|LD
17|B|31225.00000000|31300.00000000|LD
18|F|220.00000000|220.00500000|QA
18|F|220.15000000|220.15500000|QA
18|F|220.30000000|220.30500000|QA
18|F|220.45000000|220.45500000|QA
18|F|220.60000000|220.60500000|QA
18|F|221.00000000|221.00500000|QA
18|F|221.15000000|221.15500000|QA
18|F|221.30000000|221.30500000|QA
18|F|221.45000000|221.45500000|QA
18|F|221.60000000|221.60500000|QA
18|A|220.00500000|220.01000000|QA
18|A|220.15500000|220.16000000|QA
18|A|220.30500000|220.31000000|QA
18|A|220.45500000|220.46000000|QA
18|A|220.60500000|220.61000000|QA
18|A|221.00500000|221.01000000|QA
18|A|221.15500000|221.16000000|QA
18|A|221.30500000|221.31000000|QA
18|A|221.45500000|221.46000000|QA
18|A|221.60500000|221.61000000|QA
18|B|220.01000000|220.01500000|QA
18|B|220.16000000|220.16500000|QA
18|B|220.31000000|220.31500000|QA
18|B|220.46000000|220.46500000|QA
18|B|220.61000000|220.61500000|QA
18|B|221.01000000|221.01500000|QA
18|B|221.16000000|221.16500000|QA
18|B|221.31000000|221.31500000|QA
18|B|221.46000000|221.46500000|QA
18|B|221.61000000|221.61500000|QA
18|G|220.01500000|220.02000000|QA
18|G|220.16500000|220.17000000|QA
18|G|220.31500000|220.32000000|QA
18|G|220.46500000|220.47000000|QA
18|G|220.61500000|220.62000000|QA
18|G|221.01500000|221.02000000|QA
18|G|221.16500000|221.17000000|QA
18|G|221.31500000|221.32000000|QA
18|G|221.46500000|221.47000000|QA
18|G|221.61500000|221.62000000|QA
18|C|220.02000000|220.02500000|QA
18|C|220.17000000|220.17500000|QA
18|C|220.32000000|220.32500000|QA
18|C|220.47000000|220.47500000|QA
18|C|220.62000000|220.62500000|QA
18|C|221.02000000|221.02500000|QA
18|C|221.17000000|221.17500000|QA
18|C|221.32000000|221.32500000|QA
18|C|221.47000000|221.47500000|QA
18|C|221.62000000|221.62500000|QA
18|F|220.02500000|220.03000000|QA
18|F|220.17500000|220.18000000|QA
18|F|220.32500000|220.33000000|QA
18|F|220.47500000|220.48000000|QA
18|F|220.62500000|220.63000000|QA
18|F|221.02500000|221.03000000|QA
18|F|221.17500000|221.18000000|QA
18|F|221.32500000|221.33000000|QA
18|F|221.47500000|221.48000000|QA
18|F|221.62500000|221.63000000|QA
18|H|220.03000000|220.03500000|QA
18|H|220.18000000|220.18500000|QA
18|H|220.33000000|220.33500000|QA
18|H|220.48000000|220.48500000|QA
18|H|220.63000000|220.63500000|QA
18|H|221.03000000|221.03500000|QA
18|H|221.18000000|221.18500000|QA
18|H|221.33000000|221.33500000|QA
18|H|221.48000000|221.48500000|QA
18|H|221.63000000|221.63500000|QA
18|D|220.03500000|220.04000000|QA
18|D|220.18500000|220.19000000|QA
18|D|220.33500000|220.34000000|QA
18|D|220.48500000|220.49000000|QA
18|D|220.63500000|220.64000000|QA
18|D|221.03500000|221.04000000|QA
18|D|221.18500000|221.19000000|QA
18|D|221.33500000|221.34000000|QA
18|D|221.48500000|221.49000000|QA
18|D|221.63500000|221.64000000|QA
18|G|220.04000000|220.04500000|QA
18|G|220.19000000|220.19500000|QA
18|G|220.34000000|220.34500000|QA
18|G|220.49000000|220.49500000|QA
18|G|220.64000000|220.64500000|QA
18|G|221.04000000|221.04500000|QA
18|G|221.19000000|221.19500000|QA
18|G|221.34000000|221.34500000|QA
18|G|221.49000000|221.49500000|QA
18|G|221.64000000|221.64500000|QA
18|I|220.04500000|220.05000000|QA
18|I|220.19500000|220.20000000|QA
18|I|220.34500000|220.35000000|QA
18|I|220.49500000|220.50000000|QA
18|I|220.64500000|220.65000000|QA
18|I|221.04500000|221.05000000|QA
18|I|221.19500000|221.20000000|QA
18|I|221.34500000|221.35000000|QA
18|I|221.49500000|221.50000000|QA
18|I|221.64500000|221.65000000|QA
18|F|220.05000000|220.05500000|QA
18|F|220.20000000|220.20500000|QA
18|F|220.35000000|220.35500000|QA
18|F|220.50000000|220.50500000|QA
18|F|220.65000000|220.65500000|QA
18|F|221.05000000|221.05500000|QA
18|F|221.20000000|221.20500000|QA
18|F|221.35000000|221.35500000|QA
18|F|221.50000000|221.50500000|QA
18|F|221.65000000|221.65500000|QA
18|H|220.05500000|220.06000000|QA
18|H|220.20500000|220.21000000|QA
18|H|220.35500000|220.36000000|QA
18|H|220.50500000|220.51000000|QA
18|H|220.65500000|220.66000000|QA
18|H|221.05500000|221.06000000|QA
18|H|221.20500000|221.21000000|QA
18|H|221.35500000|221.36000000|QA
18|H|221.50500000|221.51000000|QA
18|H|221.65500000|221.66000000|QA
18|A|220.06000000|220.06500000|QA
18|A|220.21000000|220.21500000|QA
18|A|220.36000000|220.36500000|QA
18|A|220.51000000|220.51500000|QA
18|A|220.66000000|220.66500000|QA
18|A|221.06000000|221.06500000|QA
18|A|221.21000000|221.21500000|QA
18|A|221.36000000|221.36500000|QA
18|A|221.51000000|221.51500000|QA
18|A|221.66000000|221.66500000|QA
18|G|220.06500000|220.07000000|QA
18|G|220.21500000|220.22000000|QA
18|G|220.36500000|220.37000000|QA
18|G|220.51500000|220.52000000|QA
18|G|220.66500000|220.67000000|QA
